player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200360,Pam,Shriver,R,19620704,USA,183,Q54654
200361,Marie,Pinterova,R,19460816,HUN,175,Q1565130
200362,Liz,Smylie,R,19630411,AUS,170,Q264083
200363,Hana,Strachonova,R,19610102,SUI,165,Q30575937
200364,Barbara,Hallquist,R,19570501,USA,,Q2883951
200365,Tanya,Harford,U,19581128,RSA,,Q526823
200366,Sylvia,Hanika,L,19591130,GER,173,Q57977
200367,Nanette,Schutte,U,19620406,NED,,Q3335640
200368,Miranda,Yates,U,19631208,AUS,,
200369,Candy,Reynolds,U,19550324,USA,,Q293096
200370,Marie Christine,Calleja,U,19640114,FRA,,Q17308126
200371,Mima,Jausovec,U,19560720,SLO,,Q239728
200372,Bettina,Bunge,U,19630613,GER,,Q63084
200373,Bonnie,Gadusek,U,19630911,USA,,Q2438371
200374,Helga,Lutten,R,19610727,GER,,Q84751470
200375,Barbara,Potter,L,19611022,USA,,Q38129
200376,Katerina,Bohmova,L,19580122,CZE,,Q3194005
200377,Helena,Sukova,R,19650223,CZE,188,Q229151
200378,Anne,Smith,R,19590701,USA,165,Q270414
200379,Paula,Smith,U,19570110,USA,170,Q436523
200380,Nancy,Yeargin,R,19550522,USA,,Q23039626
200381,Andrea,Jaeger,U,19650604,USA,,Q236648
200382,Isabelle,Villiger,U,19621124,SUI,,Q20993717
200383,Anne,Hobbs,U,19590821,GBR,,Q515289
200384,Eva,Pfaff,R,19610210,GER,,Q70368
200385,Brenda,Remilton,U,19560224,AUS,,Q2924407
200386,Corinne,Vanier,U,19630920,FRA,,Q16224807
200387,Anne,White,U,19610928,USA,,Q510594
200388,Leslie,Allen,R,19570312,USA,,Q3236681
200389,Kathy,Jordan,R,19591203,USA,173,Q264493
200390,Mary Lou,Piatek,R,19610806,USA,,
200391,Sherry,Acker,R,19590606,USA,173,Q3481977
200392,Jo,Durie,R,19600727,GBR,,Q436562
200393,Lea,Antonoplis,R,19590120,USA,165,Q3228607
200394,Marjorie,Blackwood,R,19570501,CAN,,Q3293941
200395,Catherine,Tanvier,R,19650528,FRA,174,Q267963
200396,Kim,Steinmetz,U,19571222,USA,,Q6409415
200397,Tracy,Austin,R,19621212,USA,,Q53326
200398,Iva,Budarova,U,19600731,TCH,,Q3156045
200399,Jennifer,Mundel,U,19620120,RSA,,Q3177094
200400,Kate,Latham,R,19521025,USA,168,Q6375594
200401,Manuela,Maleeva Fragniere,R,19670214,SUI,173,Q259343
200402,Wendy,White,R,19600929,USA,,
200403,Andrea,Leand,U,19640118,USA,,Q2846358
200404,Zina,Garrison,R,19631116,USA,164,Q53546
200405,Susan,Mascarin,R,19640628,USA,173,Q3505594
200406,Claudia,Monteiro,U,19610508,BRA,,Q2978415
200407,Camille,Benjamin,L,19660602,USA,175,Q511745
200408,Alycia,Moulton,U,19610218,USA,,Q450264
200409,Petra,Delhees Jauch,L,19590328,SUI,,Q32296050
200410,Yvonne,Vermaak,R,19561218,RSA,156,Q510577
200411,Jane,Preyer,U,19531206,USA,,
200412,Vicki,Nelson,R,19620925,USA,168,Q3556956
200413,Heather,Ludloff,U,19610611,USA,,Q3129084
200414,Steffi,Graf,R,19690614,GER,175,Q11662
200415,Catherine,Suire,U,19590915,FRA,,Q515418
200416,Robin,White,R,19631210,USA,164,Q433961
200417,Gigi,Fernandez,U,19640222,USA,,Q233332
200418,Amanda,Brown,U,19650502,GBR,,Q15869895
200419,Kathy,Rinaldi Stunkel,U,19670324,USA,,Q443446
200420,Anna Maria,Fernandez,U,19601022,USA,,Q2850553
200421,Pascale,Paradis Mangon,R,19660424,FRA,,Q548183
200422,Raffaella,Reggi Concato,U,19651127,ITA,,Q264212
200423,Carling,Bassett Seguso,R,19671009,CAN,,Q2533224
200424,Etsuko,Inoue,R,19641018,JPN,164,Q3059383
200425,Sophie,Amiach,R,19631110,FRA,165,Q3490838
200426,Kim,Staunton,U,19660324,AUS,,
200427,Beth,Herr,R,19640528,USA,170,Q510774
200428,Lori,Mcneil,U,19631218,USA,,Q265490
